Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
LANDED HOUSING DEVELOPMENT,"3,950,000","2,645.79","1,493",Jan-24,LENGKONG EMPAT,Resale,Land,245.8,"16,070",-,Terrace House,1,Freehold,14,Outside Central Region,-
APOLLO GARDENS,"5,100,000","4,591.92","1,111",Jan-24,SUNBIRD CIRCLE,Resale,Land,426.6,"11,955",-,Terrace House,1,Freehold,16,Outside Central Region,-
SEMBAWANG HILLS ESTATE,"4,200,000","2,092.52","2,007",Jan-24,JALAN CHENGAM,Resale,Land,194.4,"21,605",-,Terrace House,1,Freehold,20,Outside Central Region,-
ORCHID VILLAGE,"13,100,000","3,667.29","3,572",Jan-24,VANDA ROAD,Resale,Land,340.7,"38,450",-,Semi-Detached House,1,Freehold,11,Core Central Region,-
SARINA PARK,"4,030,000","1,800.82","2,238",Dec-23,LORONG SARINA,Resale,Land,167.3,"24,088",-,Terrace House,1,Freehold,14,Outside Central Region,-
SILAHIS VILLE,"3,080,000","1,567.24","1,965",Dec-23,LORONG MELAYU,Resale,Land,145.6,"21,154",-,Terrace House,1,Freehold,14,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"4,980,000","4,032.19","1,235",Dec-23,HAI SING ROAD,Resale,Land,374.6,"13,294",-,Semi-Detached House,1,999 yrs lease commencing from 1876,19,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"3,450,000","1,836.34","1,879",Dec-23,TOH TUCK ROAD,Resale,Land,170.6,"20,223",-,Terrace House,1,Freehold,21,Rest of Central Region,-
CORAL PARK,"4,350,000","1,680.26","2,589",Dec-23,PEMIMPIN PLACE,Resale,Land,156.1,"27,867",-,Terrace House,1,Freehold,20,Rest of Central Region,-
BEAUTY GARDEN,"3,300,000","1,649.04","2,001",Dec-23,JALAN MERDU,Resale,Land,153.2,"21,540",-,Terrace House,1,999 yrs lease commencing from 1879,19,Outside Central Region,-
TAI KENG GARDENS,"3,760,000","1,855.71","2,026",Dec-23,TAI KENG GARDENS,Resale,Land,172.4,"21,810",-,Terrace House,1,Freehold,19,Outside Central Region,-
MICHAELS' RESIDENCES,"3,600,000","2,223.84","1,619",Dec-23,ALMOND AVENUE,Resale,Land,206.6,"17,425",-,Semi-Detached House,1,99 yrs lease commencing from 2012,23,Outside Central Region,-
BARTLEY VILLAS,"2,400,000","1,614.6","1,486",Dec-23,HOW SUN WALK,Resale,Land,150,"16,000",-,Terrace House,1,99 yrs lease commencing from 1993,19,Outside Central Region,-
LOYANG VILLAS,"2,350,000","1,614.6","1,455",Dec-23,LOYANG RISE,Resale,Land,150,"15,667",-,Terrace House,1,99 yrs lease commencing from 1993,17,Outside Central Region,-
TOH ESTATE,"3,980,000","3,812.61","1,044",Dec-23,TOH CRESCENT,Resale,Land,354.2,"11,237",-,Semi-Detached House,1,Freehold,17,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"3,438,000","1,758.84","1,955",Dec-23,AH SOO GARDEN,Resale,Land,163.4,"21,040",-,Terrace House,1,Freehold,19,Outside Central Region,-
MANDARIN PARK,"4,750,000","1,846.03","2,573",Dec-23,CHUN TIN ROAD,Resale,Land,171.5,"27,697",-,Terrace House,1,Freehold,21,Rest of Central Region,-
SEMBAWANG HILLS ESTATE,"5,000,000","2,935.34","1,703",Dec-23,JALAN MENARONG,Resale,Land,272.7,"18,335",-,Terrace House,1,Freehold,20,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"3,280,000","1,687.8","1,943",Dec-23,HOW SUN CLOSE,Resale,Land,156.8,"20,918",-,Terrace House,1,Freehold,19,Outside Central Region,-
POPULAR ESTATE,"3,700,000","2,221.69","1,665",Dec-23,JALAN REMAJA,Resale,Land,206.4,"17,926",-,Terrace House,1,Freehold,23,Outside Central Region,-
WEST COAST GARDENS,"4,400,000","3,697.43","1,190",Dec-23,WEST COAST GREEN,Resale,Land,343.5,"12,809",-,Terrace House,1,956 yrs lease commencing from 1928,05,Outside Central Region,-
FRANKEL ESTATE,"9,180,000","5,853.46","1,568",Dec-23,DUNBAR WALK,Resale,Land,543.8,"16,881",-,Semi-Detached House,1,Freehold,15,Outside Central Region,-
LENTOR VILLAS,"5,008,888","3,262.57","1,535",Dec-23,LENTOR STREET,Resale,Land,303.1,"16,526",-,Terrace House,1,Freehold,26,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"800,000","3,904.1",205,Dec-23,JALAN CHEMPAKA KUNING,Resale,Land,362.7,"2,206",-,Terrace House,1,70 yrs lease commencing from 1964,16,Outside Central Region,-
HENRY PARK,"5,800,000","3,181.84","1,823",Dec-23,GROVE CRESCENT,Resale,Land,295.6,"19,621",-,Terrace House,1,Freehold,10,Core Central Region,-
MARINE GARDEN,"3,960,000","1,832.03","2,162",Dec-23,SIGLAP ROAD,Resale,Land,170.2,"23,267",-,Terrace House,1,Freehold,15,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"6,200,000","5,211.93","1,190",Dec-23,PARRY AVENUE,Resale,Land,484.2,"12,805",-,Semi-Detached House,1,999 yrs lease commencing from 1886,19,Outside Central Region,-
MERA TERRACE,"3,880,000","1,614.6","2,403",Dec-23,SEAGULL WALK,Resale,Land,150,"25,867",-,Terrace House,1,Freehold,16,Outside Central Region,-
VILLA VERDE,"2,700,000","2,576.9","1,048",Dec-23,VERDE GROVE,Resale,Land,239.4,"11,278",-,Terrace House,1,99 yrs lease commencing from 1997,23,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"2,680,000","1,693.18","1,583",Dec-23,ANDREWS TERRACE,Resale,Land,157.3,"17,038",-,Terrace House,1,99 yrs lease commencing from 2008,27,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"3,500,000",908.48,"3,853",Dec-23,NIVEN ROAD,Resale,Land,84.4,"41,469",-,Terrace House,1,Freehold,09,Core Central Region,-
LANDED HOUSING DEVELOPMENT,"5,950,000","3,785.7","1,572",Dec-23,LORONG M TELOK KURAU,Resale,Land,351.7,"16,918",-,Detached House,1,Freehold,15,Outside Central Region,-
CHARLTON PARK,"5,265,000","4,021.43","1,309",Dec-23,VEERAGOO CLOSE,Resale,Land,373.6,"14,093",-,Semi-Detached House,1,Freehold,19,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"3,650,000","1,866.48","1,956",Dec-23,EE TEOW LENG ROAD,Resale,Land,173.4,"21,050",-,Terrace House,1,Freehold,19,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"5,400,000","3,388.51","1,594",Dec-23,TELOK KURAU ROAD,Resale,Land,314.8,"17,154",-,Terrace House,1,Freehold,15,Outside Central Region,-
MACPHERSON GARDEN ESTATE,"2,280,000",884.8,"2,577",Dec-23,JALAN SETIA,Resale,Land,82.2,"27,737",-,Terrace House,1,Freehold,13,Rest of Central Region,-
FABER HILLS,"7,100,000","4,222.72","1,681",Dec-23,FABER AVENUE,Resale,Land,392.3,"18,098",-,Semi-Detached House,1,Freehold,05,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"5,000,000","2,246.45","2,226",Dec-23,ROSYTH ROAD,Resale,Land,208.7,"23,958",-,Semi-Detached House,1,Freehold,19,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"3,500,000","1,624.29","2,155",Dec-23,JANSEN ROAD,Resale,Land,150.9,"23,194",-,Terrace House,1,999 yrs lease commencing from 1878,19,Outside Central Region,-
GREENBANK PARK,"9,100,000","4,048.34","2,248",Dec-23,GREENBANK PARK,Resale,Land,376.1,"24,196",-,Semi-Detached House,1,Freehold,21,Rest of Central Region,-
HAI SING PARK,"5,200,000","4,563.94","1,139",Dec-23,HAI SING CRESCENT,Resale,Land,424,"12,264",-,Semi-Detached House,1,999 yrs lease commencing from 1876,19,Outside Central Region,-
MAYFLOWER GARDENS,"4,450,000","2,021.48","2,201",Dec-23,MAYFLOWER TERRACE,Resale,Land,187.8,"23,695",-,Terrace House,1,Freehold,20,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"5,500,000","2,769.58","1,986",Dec-23,MOUNTBATTEN ROAD,Resale,Land,257.3,"21,376",-,Semi-Detached House,1,Freehold,15,Rest of Central Region,-
SEMBAWANG HILLS ESTATE,"3,100,000","2,039.78","1,520",Dec-23,JALAN GELENGGANG,Resale,Land,189.5,"16,359",-,Terrace House,1,Freehold,20,Outside Central Region,-
SEMBAWANG STRAITS ESTATE,"3,000,000","1,974.12","1,520",Dec-23,JALAN GAPIS,Resale,Land,183.4,"16,358",-,Semi-Detached House,1,Freehold,27,Outside Central Region,-
FARRER GARDENS,"7,820,000","2,517.7","3,106",Dec-23,QUEEN'S ROAD,Resale,Land,233.9,"33,433",-,Semi-Detached House,1,Freehold,10,Core Central Region,-
OPERA ESTATE,"3,100,000","1,488.66","2,082",Dec-23,SWAN LAKE AVENUE,Resale,Land,138.3,"22,415",-,Terrace House,1,Freehold,15,Outside Central Region,-
LOYANG VILLAS,"2,400,000","2,190.47","1,096",Dec-23,LOYANG RISE,Resale,Land,203.5,"11,794",-,Terrace House,1,99 yrs lease commencing from 1993,17,Outside Central Region,-
