Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
SUITES @ AMBER,"1,250,000",635.08,"1,968",Nov-22,AMBER ROAD,Resale,Strata,59,"21,186",-,Apartment,1,Freehold,15,Rest of Central Region,06 to 10
ECO,"1,580,000","1,022.58","1,545",Nov-22,BEDOK SOUTH AVENUE 3,Resale,Strata,95,"16,632",-,Condominium,1,99 yrs lease commencing from 2012,16,Outside Central Region,11 to 15
SKIES MILTONIA,"650,000",484.38,"1,342",Nov-22,MILTONIA CLOSE,Resale,Strata,45,"14,444",-,Condominium,1,99 yrs lease commencing from 2012,27,Outside Central Region,06 to 10
EASTPOINT GREEN,"1,177,888","1,140.98","1,032",Nov-22,SIMEI STREET 3,Resale,Strata,106,"11,112",-,Condominium,1,99 yrs lease commencing from 1996,18,Outside Central Region,06 to 10
THE WOODGROVE,"820,000",828.83,989,Nov-22,WOODGROVE DRIVE,Resale,Strata,77,"10,649",-,Apartment,1,99 yrs lease commencing from 1996,25,Outside Central Region,06 to 10
BRADDELL VIEW,"1,810,000","1,797.59","1,007",Nov-22,BRADDELL HILL,Resale,Strata,167,"10,838",-,Apartment,1,102 yrs lease commencing from 1978,20,Rest of Central Region,01 to 05
VILLA MARINA,"1,520,000","1,151.75","1,320",Nov-22,JALAN SEMPADAN,Resale,Strata,107,"14,206",-,Condominium,1,99 yrs lease commencing from 1995,15,Outside Central Region,01 to 05
THE SKYWOODS,"1,460,000",958,"1,524",Nov-22,DAIRY FARM HEIGHTS,Resale,Strata,89,"16,404",-,Condominium,1,99 yrs lease commencing from 2012,23,Outside Central Region,11 to 15
LA FIESTA,"1,980,000","1,420.85","1,394",Nov-22,SENGKANG SQUARE,Resale,Strata,132,"15,000",-,Condominium,1,99 yrs lease commencing from 2012,19,Outside Central Region,01 to 05
COCO PALMS,"730,000",462.85,"1,577",Nov-22,PASIR RIS GROVE,Resale,Strata,43,"16,977",-,Condominium,1,99 yrs lease commencing from 2008,18,Outside Central Region,06 to 10
HEDGES PARK CONDOMINIUM,"645,000",484.38,"1,332",Nov-22,FLORA DRIVE,Resale,Strata,45,"14,333",-,Condominium,1,99 yrs lease commencing from 2010,17,Outside Central Region,06 to 10
