LATITUDE,LONGITUDE,address,town,flat_type,floor_area_sqm,remaining_lease,bus_within_0.5,cbd_distance,hawker_distance,mall_within_2.0,mrtlrt_distance,park_distance,school_within_2.0,supermarket_within_0.5,resale_price,region
1.38943,103.89747,223D COMPASSVALE WALK,SENGKANG,4 ROOM,102.0,81,23.0,12.713091,0.961036,8.0,0.325568,0.740674,29.0,1.0,461168.275,North East
1.38943,103.89747,223D COMPASSVALE WALK,SENGKANG,5 ROOM,122.0,78,23.0,12.713091,0.961036,8.0,0.325568,0.740674,29.0,1.0,576639.672,North East
1.38945,103.90265,130 RIVERVALE ST,SENGKANG,4 ROOM,100.0,81,21.0,12.95624,1.382081,7.0,0.352408,0.270736,28.0,1.0,388506.65,North East
1.38945,103.90265,130 RIVERVALE ST,SENGKANG,5 ROOM,119.0,80,21.0,12.95624,1.382081,7.0,0.352408,0.270736,28.0,1.0,509689.122,North East
1.38948,103.89328,215A COMPASSVALE DR,SENGKANG,3 ROOM,68.0,95,28.0,12.539313,0.790086,7.0,0.328491,1.189645,28.0,3.0,472115.48999999993,North East
1.38948,103.89328,215A COMPASSVALE DR,SENGKANG,4 ROOM,92.0,95,28.0,12.539313,0.790086,7.0,0.328491,1.189645,28.0,3.0,671816.292,North East
1.38949,103.90966,180C RIVERVALE CRES,SENGKANG,4 ROOM,93.0,96,9.0,13.319761,2.074942,5.0,0.478075,0.698612,21.0,0.0,444007.6,North East
1.3895,103.87701,409B FERNVALE RD,SENGKANG,4 ROOM,95.0,86,13.0,11.993951,0.231588,4.0,0.282482,0.46137,14.0,2.0,442348.305,North East
1.3895,103.87701,409B FERNVALE RD,SENGKANG,5 ROOM,115.0,86,13.0,11.993951,0.231588,4.0,0.282482,0.46137,14.0,2.0,516158.835,North East
1.38953,103.9014,231 COMPASSVALE WALK,SENGKANG,4 ROOM,101.0,79,22.0,12.904537,1.275029,7.0,0.486088,0.350063,28.0,1.0,419587.182,North East
1.38953,103.9014,231 COMPASSVALE WALK,SENGKANG,5 ROOM,121.0,81,22.0,12.904537,1.275029,7.0,0.486088,0.350063,28.0,1.0,520474.58887200005,North East
1.38954,103.88744,307B ANCHORVALE RD,SENGKANG,EXECUTIVE,125.0,83,17.0,12.322055,0.823145,6.0,0.169153,1.156527,26.0,0.0,623506.77,North East
1.38956,103.90882,163A RIVERVALE CRES,SENGKANG,4 ROOM,93.0,95,12.0,13.281193,1.99133,5.0,0.394007,0.60826,21.0,0.0,488214.324,North East
1.38956,103.90882,163A RIVERVALE CRES,SENGKANG,5 ROOM,113.0,96,12.0,13.281193,1.99133,5.0,0.394007,0.60826,21.0,0.0,605541.63975,North East
1.38958,103.87948,414A FERNVALE LINK,SENGKANG,3 ROOM,68.0,95,4.0,12.07012,0.348855,5.0,0.287673,0.492834,16.0,2.0,378489.36,North East
1.38958,103.87948,414A FERNVALE LINK,SENGKANG,4 ROOM,93.0,96,4.0,12.07012,0.348855,5.0,0.287673,0.492834,16.0,2.0,491738.417,North East
1.38966,103.90829,163C RIVERVALE CRES,SENGKANG,3 ROOM,68.0,96,13.0,13.263174,1.94252,6.0,0.340395,0.550183,23.0,0.0,393017.37,North East
1.38966,103.90829,163C RIVERVALE CRES,SENGKANG,4 ROOM,93.0,96,13.0,13.263174,1.94252,6.0,0.340395,0.550183,23.0,0.0,494074.35,North East
1.38967,103.88861,306B ANCHORVALE LINK,SENGKANG,EXECUTIVE,125.0,83,18.0,12.377929,0.800852,7.0,0.300174,1.191214,27.0,1.0,607189.55,North East
1.38969,103.90729,164B RIVERVALE CRES,SENGKANG,3 ROOM,68.0,96,15.0,13.214241,1.843573,6.0,0.259208,0.44842,25.0,1.0,400753.44,North East
1.38969,103.90729,164B RIVERVALE CRES,SENGKANG,4 ROOM,93.0,96,15.0,13.214241,1.843573,6.0,0.259208,0.44842,25.0,1.0,507249.666,North East
1.38971,103.87869,413B FERNVALE LINK,SENGKANG,4 ROOM,95.0,85,8.0,12.061633,0.275724,5.0,0.310182,0.482471,14.0,2.0,458640.048,North East
1.38971,103.87869,413B FERNVALE LINK,SENGKANG,5 ROOM,114.0,86,8.0,12.061633,0.275724,5.0,0.310182,0.482471,14.0,2.0,509622.88,North East
1.38973,103.87796,412B FERNVALE LINK,SENGKANG,4 ROOM,95.0,86,8.0,12.043373,0.229394,5.0,0.308436,0.475982,14.0,2.0,469503.632,North East
1.38973,103.87796,412B FERNVALE LINK,SENGKANG,5 ROOM,114.0,86,8.0,12.043373,0.229394,5.0,0.308436,0.475982,14.0,2.0,508701.2216,North East
1.38978,103.90397,141 RIVERVALE ST,SENGKANG,4 ROOM,100.0,81,21.0,13.053585,1.524459,6.0,0.25335,0.206312,29.0,1.0,430687.372,North East
1.38978,103.90397,141 RIVERVALE ST,SENGKANG,5 ROOM,120.5,81,21.0,13.053585,1.524459,6.0,0.25335,0.206312,29.0,1.0,469389.42,North East
1.38979,103.8761,410B FERNVALE RD,SENGKANG,4 ROOM,95.0,94,12.0,12.001919,0.226323,4.0,0.239136,0.522766,13.0,3.0,461607.319388,North East
1.3898,103.88064,416C FERNVALE LINK,SENGKANG,4 ROOM,93.0,95,6.0,12.126966,0.445397,5.0,0.2593,0.572832,17.0,1.0,493230.723,North East
1.3898,103.88064,416C FERNVALE LINK,SENGKANG,5 ROOM,112.0,95,6.0,12.126966,0.445397,5.0,0.2593,0.572832,17.0,1.0,656790.3600000001,North East
1.38983,103.90786,164C RIVERVALE CRES,SENGKANG,4 ROOM,93.0,96,14.0,13.257188,1.906621,6.0,0.290713,0.497952,25.0,1.0,491942.055,North East
1.38983,103.90786,164C RIVERVALE CRES,SENGKANG,5 ROOM,113.0,96,14.0,13.257188,1.906621,6.0,0.290713,0.497952,25.0,1.0,620337.7949999999,North East
1.38984,103.89415,217C COMPASSVALE DR,SENGKANG,4 ROOM,92.0,95,25.0,12.61213,0.846306,6.0,0.233905,1.086464,29.0,3.0,678075.4500000001,North East
1.38984,103.89415,217C COMPASSVALE DR,SENGKANG,5 ROOM,112.0,95,25.0,12.61213,0.846306,6.0,0.233905,1.086464,29.0,3.0,829338.435,North East
1.38987,103.89852,237 COMPASSVALE WALK,SENGKANG,4 ROOM,100.5,79,23.0,12.804819,1.071229,8.0,0.391185,0.614029,27.0,1.0,469170.75945,North East
1.38987,103.89852,237 COMPASSVALE WALK,SENGKANG,5 ROOM,122.0,81,23.0,12.804819,1.071229,8.0,0.391185,0.614029,27.0,1.0,542851.956,North East
1.38987,103.90265,129 RIVERVALE ST,SENGKANG,4 ROOM,100.0,81,20.0,12.998298,1.408867,6.0,0.374737,0.230053,28.0,1.0,417405.885,North East
1.38989,103.88592,308A ANCHORVALE RD,SENGKANG,4 ROOM,90.0,84,13.0,12.30539,0.827148,6.0,0.061523,1.021155,25.0,0.0,395640.72,North East
1.38989,103.88592,308A ANCHORVALE RD,SENGKANG,5 ROOM,110.0,84,13.0,12.30539,0.827148,6.0,0.061523,1.021155,25.0,0.0,451566.733776,North East
1.38989,103.88811,306C ANCHORVALE LINK,SENGKANG,4 ROOM,90.0,84,19.0,12.382136,0.778057,6.0,0.249774,1.147485,26.0,0.0,413474.431,North East
1.38989,103.88811,306C ANCHORVALE LINK,SENGKANG,5 ROOM,110.0,84,19.0,12.382136,0.778057,6.0,0.249774,1.147485,26.0,0.0,485839.7775,North East
1.3899,103.88712,307C ANCHORVALE RD,SENGKANG,4 ROOM,90.0,79,16.0,12.347956,0.790236,6.0,0.145715,1.109194,26.0,0.0,477780.33900000004,North East
1.3899,103.88712,307C ANCHORVALE RD,SENGKANG,5 ROOM,110.0,83,16.0,12.347956,0.790236,6.0,0.145715,1.109194,26.0,0.0,510608.7400000001,North East
