,private_lat,private_lon,school_lat,school_lon,distance
2711,1.36196945619786,103.864667129807,1.358,103.8642,0.44199
2712,1.3619760292092,103.884992801669,1.3579,103.8903,0.742953
2713,1.36204883896968,103.867325530053,1.3601,103.8698,0.349673
2714,1.3620535018461,103.874244125204,1.3594,103.8706,0.500559
2715,1.3620994674031,103.886835430404,1.3579,103.8903,0.603562
2716,1.36210131581593,103.866433049912,1.3601,103.8698,0.43517
2717,1.36213119169538,103.873964020299,1.3594,103.8706,0.481001
2718,1.36213600999851,103.881423538284,1.3702,103.8771,1.013211
2719,1.36217334688886,103.8727975957,1.3594,103.8706,0.392243
2720,1.36218188592925,103.86481853712,1.358,103.8642,0.467507
2721,1.36218777235824,103.865410762448,1.358,103.8642,0.482268
2722,1.36224150337995,103.878014692236,1.3594,103.8706,0.882963
2723,1.36224235330294,103.965114956014,1.3655,103.9611,0.573933
2724,1.36230952965649,103.873853433408,1.3594,103.8706,0.484354
2725,1.36234524558297,103.875309861318,1.3594,103.8706,0.617087
2726,1.36237930482573,103.966450028146,1.3655,103.9611,0.688163
2727,1.36240627671459,103.881234120346,1.3702,103.8771,0.976911
2728,1.36245537458618,103.968198334771,1.3655,103.9611,0.858707
2729,1.36255023290676,103.883551791779,1.3579,103.8903,0.910163
2730,1.36264894007541,103.88853861462,1.3579,103.8903,0.560508
2731,1.36265043160726,103.868881510025,1.3601,103.8698,0.299967
2732,1.36267372286237,103.865387404309,1.358,103.8642,0.533424
2733,1.36269480854643,103.887427905362,1.3579,103.8903,0.61908
2734,1.36274315354694,103.886991476873,1.3579,103.8903,0.649896
2735,1.36289802477235,103.879106446851,1.3702,103.8771,0.837723
2736,1.36290401961155,103.878886421716,1.3702,103.8771,0.830887
2737,1.3630045698738,103.965156679641,1.3655,103.9611,0.529108
2738,1.3630484556857,103.885752438839,1.3579,103.8903,0.761721
2739,1.36306930491581,103.873945366339,1.3594,103.8706,0.55066
2740,1.36309053458998,103.968871760556,1.3655,103.9611,0.90501
2741,1.36315342571197,103.874411909823,1.3594,103.8706,0.593479
2742,1.36316552671281,103.874166399286,1.3594,103.8706,0.575234
2743,1.36318967673482,103.82862760615,1.3673,103.8296,0.467204
2744,1.36320778338866,103.866163508913,1.3601,103.8698,0.530916
2745,1.36325572121571,103.968281059947,1.3655,103.9611,0.83681
2746,1.36325991002243,103.974028841416,1.3655,103.9611,1.459992
2747,1.36326216481233,103.970930451133,1.3655,103.9611,1.121648
2748,1.36333950316193,103.9712725612,1.3655,103.9611,1.157017
2749,1.36337539329938,103.874531123321,1.3594,103.8706,0.620182
2750,1.36343837580224,103.973377470885,1.3655,103.9611,1.385223
2751,1.36347517494587,103.871078447153,1.3601,103.8698,0.399409
2752,1.3634971747619,103.871856779114,1.3601,103.8698,0.439887
2753,1.36351876042906,103.888020177163,1.3579,103.8903,0.671103
2754,1.36355650607885,103.883935704039,1.3716,103.8829,0.896846
2755,1.36357380310723,103.886627357919,1.3579,103.8903,0.748772
2756,1.36357531704991,103.873271777437,1.3601,103.8698,0.544934
2757,1.36358352849535,103.76526340091,1.3664,103.7671,0.372512
2758,1.36362256925727,103.885979254519,1.3579,103.8903,0.794743
2759,1.36364218182276,103.870109423163,1.3601,103.8698,0.393187
2760,1.36367008319531,103.974187410498,1.3655,103.9611,1.470462
2761,1.36367883703223,103.87312440467,1.3601,103.8698,0.541736
2762,1.36372612100017,103.859934962633,1.358,103.8642,0.791321
2763,1.3637400543686,103.877208941523,1.3702,103.8771,0.714411
2764,1.3637561687138,103.973103365171,1.3655,103.9611,1.349677
2765,1.36375630415817,103.828705816532,1.3673,103.8296,0.404282
2766,1.3637671441634,103.895314741866,1.367,103.8936,0.40522
2767,1.36386073013807,103.885680380515,1.3579,103.8903,0.835901
2768,1.36391439589258,103.868381069491,1.3601,103.8698,0.450368
2769,1.36392546669843,103.768843764834,1.3664,103.7671,0.335452
2770,1.36394627580012,103.974224410075,1.3655,103.9611,1.47066
2771,1.36396358971437,103.880587133601,1.3702,103.8771,0.791289
2772,1.36398238023592,103.874333937332,1.3594,103.8706,0.655299
2773,1.36398882755656,103.832454528024,1.3606,103.8328,0.376686
2774,1.36403762982402,103.867627642613,1.3601,103.8698,0.498019
2775,1.3640438213898,103.86677694992,1.3601,103.8698,0.550779
2776,1.36404764176697,103.828519797654,1.3673,103.8296,0.379189
2777,1.36404978273602,103.864106645031,1.358,103.8642,0.669035
2778,1.36415974406718,103.874917770574,1.3702,103.8771,0.710683
2779,1.36424937979676,103.860140049667,1.358,103.8642,0.825627
2780,1.36428839800371,103.872229320572,1.3601,103.8698,0.536267
2781,1.36446029733043,103.86540061509,1.3601,103.8698,0.687144
2782,1.36451247971315,103.866016088958,1.3601,103.8698,0.644504
2783,1.364544415936,103.885943416647,1.3716,103.8829,0.850518
2784,1.36455147440742,103.973519381948,1.3655,103.9611,1.386103
2785,1.36460252305403,103.874054911243,1.3601,103.8698,0.68709
2786,1.36464928932987,103.828663259158,1.3673,103.8296,0.311089
2787,1.36470196051695,103.765594140044,1.3664,103.7671,0.251671
2788,1.3647420268583,103.974576148321,1.3655,103.9611,1.502075
2789,1.36474786641693,103.971185706967,1.3655,103.9611,1.125496
2790,1.36478070542672,103.860325429861,1.358,103.8642,0.864923
2791,1.36478651146586,103.764763618001,1.3664,103.7671,0.315336
2792,1.36502586452583,103.8635592016,1.358,103.8642,0.78015
2793,1.3651016355989,103.87821352809,1.3702,103.8771,0.577211
2794,1.36511741418017,103.77187324567,1.3664,103.7671,0.549811
2795,1.36513433574962,103.877904537708,1.3702,103.8771,0.567246
2796,1.36523228335118,103.893176399865,1.367,103.8936,0.201069
2797,1.36531324233969,103.860507850209,1.358,103.8642,0.907064
2798,1.36531665335048,103.881578387111,1.3716,103.8829,0.710178
2799,1.36534920847374,103.830268477018,1.3673,103.8296,0.228177
2800,1.3653638585548,103.878440263242,1.3702,103.8771,0.555168
2801,1.36540541023012,103.883198431458,1.3716,103.8829,0.685771
2802,1.36553457946476,103.882553849592,1.3716,103.8829,0.671789
2803,1.36560414659553,103.866020425438,1.3699,103.8692,0.592323
2804,1.36568479488071,103.865125659293,1.3699,103.8692,0.650261
2805,1.36573055785801,103.862098359582,1.358,103.8642,0.886226
2806,1.36580021019703,103.860802120527,1.358,103.8642,0.94176
2807,1.36582015580987,103.88224703827,1.3716,103.8829,0.643224
2808,1.36582285879117,103.865681405663,1.3699,103.8692,0.597143
2809,1.36584849907494,103.884856327883,1.3716,103.8829,0.672205
2810,1.36585683410916,103.883185630299,1.3716,103.8829,0.635845
2811,1.36591526887723,103.882020675947,1.3716,103.8829,0.63616
2812,1.36602601405681,103.885706207099,1.3716,103.8829,0.690947
2813,1.36603046151961,103.893810211771,1.367,103.8936,0.109729
2814,1.36606264676117,103.881675265265,1.3716,103.8829,0.627279
2815,1.36607003686749,103.876601833075,1.3702,103.8771,0.460023
2816,1.36608167255189,103.877801901994,1.3702,103.8771,0.462035
2817,1.36610161790129,103.868431714755,1.3699,103.8692,0.42862
2818,1.3661127898455,103.974971322432,1.3724,103.963,1.502744
2819,1.36617888343075,103.831662019589,1.3673,103.8296,0.260822
2820,1.36620695987025,103.870405307735,1.3699,103.8692,0.429824
2821,1.36631451315574,103.866132220454,1.3699,103.8692,0.523205
2822,1.36635854300553,103.885815091695,1.3716,103.8829,0.664192
2823,1.36649204925857,103.877159439884,1.3702,103.8771,0.41006
2824,1.36654447721848,103.891489627476,1.367,103.8936,0.2402
2825,1.36654648656021,103.867158411259,1.3699,103.8692,0.434885
