private_lat,private_lon,within_0.1,within_0.3,within_0.5,within_1,within_1.5,within_2.0
1.29128650817015,103.840480166834,0,0,0,2,3,8
1.29130379243474,103.807350978054,0,0,1,3,7,10
1.29139945043899,103.768850992913,0,0,0,0,1,4
1.291713191569,103.77267554879,0,0,0,0,2,7
1.29173359502464,103.836971346231,0,1,1,2,5,8
1.29178256323639,103.806959431601,0,0,1,3,7,10
1.29181865625912,103.82516074139,0,1,2,4,9,13
1.29182877953015,103.818366893396,0,1,1,6,8,11
1.29188373587958,103.838945567915,0,0,1,2,3,8
1.29190158107128,103.807074456517,0,0,1,3,7,10
1.29198111835787,103.834261909893,0,1,1,2,5,9
1.29204406249352,103.815997544385,0,1,2,7,8,12
1.29206977583825,103.770697277565,0,0,0,0,1,7
1.29213320015397,103.838064913731,0,1,1,2,3,8
1.29231808426578,103.772313180824,0,0,0,0,2,8
1.29245276616102,103.825246918432,0,1,2,4,8,13
1.29263680036305,103.830568078703,0,0,0,3,6,9
1.29269478978815,103.820411467009,0,0,2,5,8,11
1.29273043457202,103.842248021629,0,0,0,2,3,5
1.2927319871783,103.842250095411,0,0,0,2,3,5
1.29282033122383,103.823531934289,0,1,2,4,8,12
1.29284587464583,103.767042084341,0,0,0,1,1,5
1.29285140857469,103.83976315039,0,0,1,2,3,8
1.29291188755951,103.825071632136,0,1,2,4,7,13
1.29292466927167,103.830887199295,0,0,0,3,6,9
1.29293391960903,103.833590038162,0,1,1,2,5,8
1.29293899351003,103.821693138843,0,1,3,4,7,11
1.29294488391215,103.840702054687,0,0,0,2,3,8
1.29298775382221,103.851046829843,0,0,0,1,2,4
1.29299604681606,103.805665563173,0,0,1,4,7,8
1.29299712825208,103.823117678437,0,1,2,3,8,11
1.29309229152325,103.840538564538,0,0,1,2,3,8
1.29332852822898,103.840372139235,0,0,1,2,3,8
1.2933749977748,103.825400484885,0,0,1,3,7,11
1.29344961581056,103.838888915765,0,0,1,2,3,8
1.2934966639073,103.8381049101,0,1,1,2,3,7
1.29363933147639,103.823498620439,0,1,1,3,8,11
1.29369535258683,103.833117155291,0,0,1,2,5,8
1.29371299301174,103.822816592224,0,0,1,3,8,11
1.29371532764206,103.837276710508,0,1,1,2,3,7
1.29379977411151,103.839422092697,0,0,1,2,3,7
1.29380093107283,103.842145033288,0,0,0,2,3,4
1.29382795290584,103.768246406229,0,0,0,1,2,5
1.29384907556166,103.821581749873,0,0,2,4,7,11
1.2938786701989,103.830207410891,0,0,0,3,6,8
1.29389339488957,103.824089158096,0,0,1,3,7,10
1.29404275502161,103.826067811629,0,0,1,3,6,9
1.2940922282272,103.818107585883,1,1,1,5,8,9
1.29409446498063,103.822715554852,0,0,1,3,8,10
1.29414630960587,103.826988034433,0,0,0,2,6,9
1.29416191303506,103.838428107883,0,1,1,2,3,7
1.29425888278719,103.840800556526,0,0,0,2,3,7
1.29434105033385,103.828440282424,0,0,0,3,6,9
1.29435864739002,103.766475212511,0,0,0,1,2,6
1.29438518375248,103.8560297971,0,0,0,1,2,2
1.29444086463021,103.822941344979,0,0,1,3,8,10
1.29446098581955,103.8276209036,0,0,0,3,6,9
1.29449097781879,103.822065328522,0,0,2,4,7,10
1.29451193637718,103.826758235545,0,0,0,2,6,9
1.29456208085487,103.827368709132,0,0,0,3,6,9
1.29464541913191,103.767167582575,0,0,0,1,3,6
1.29467540422297,103.766421148823,0,0,0,1,3,6
1.29473553604742,103.818989337771,0,1,1,4,8,9
1.29474611826682,103.806830290183,0,1,1,4,7,9
1.29477172447814,103.83769330846,0,1,1,2,3,7
1.29480058255914,103.821972023459,0,0,2,4,7,10
1.2948480383694,103.827548220413,0,0,0,3,6,9
