,hdb_lat,hdb_lon,mall_lat,mall_lon,distance
5335,1.370247459,103.870226,1.36511490572797,103.865159501442,0.800005
5336,1.370252027,103.8861577,1.37248308734511,103.893788141349,0.884284
5337,1.370258361,103.855969,1.36925511350953,103.848464053097,0.842545
5338,1.370261584,103.8394679,1.37193729131781,103.845949444498,0.744736
5339,1.370264184,103.9624097,1.36706634197242,103.964635610477,0.431738
5340,1.370285501,103.8810642,1.37931783499145,103.88784708944,1.251919
5341,1.37030353,103.8534559,1.36925511350953,103.848464053097,0.567499
5342,1.370306493,103.956015,1.3765903645695,103.955689449482,0.695782
5343,1.370311571,103.9575656,1.3765903645695,103.955689449482,0.724993
5344,1.370312635,103.8851256,1.37248308734511,103.893788141349,0.99346
5345,1.370363556,103.8899996,1.37248308734511,103.893788141349,0.48238
5346,1.370397646,103.9508603,1.37228761596577,103.949733905672,0.243696
5347,1.370397917,103.8418788,1.37193729131781,103.845949444498,0.483936
5348,1.370407121,103.8472307,1.37178558575829,103.847837565378,0.166716
5349,1.37042586,103.9545168,1.37228761596577,103.949733905672,0.570701
5350,1.37043723,103.8475155,1.37178558575829,103.847837565378,0.153342
5351,1.37044549,103.8985887,1.37248308734511,103.893788141349,0.57981
5352,1.37045937,103.8374193,1.37193729131781,103.845949444498,0.963265
5353,1.370513873,103.8823235,1.37931783499145,103.88784708944,1.151331
5354,1.370514348,103.8971327,1.37248308734511,103.893788141349,0.431196
5355,1.370517428,103.8797836,1.37931783499145,103.88784708944,1.323707
5356,1.370525854,103.9501901,1.37228761596577,103.949733905672,0.201313
5357,1.370545294,103.9475946,1.37228761596577,103.949733905672,0.306265
5358,1.37056144,103.8548231,1.36925511350953,103.848464053097,0.722276
5359,1.370567426,103.8805919,1.37931783499145,103.88784708944,1.260206
5360,1.370577658,103.8578546,1.36511490572797,103.865159501442,1.012794
5361,1.370585669,103.9581072,1.3765903645695,103.955689449482,0.716415
5362,1.370593162,103.8710868,1.36511490572797,103.865159501442,0.89558
5363,1.370594509,103.875782,1.36511490572797,103.865159501442,1.328389
5364,1.370597561,103.852367,1.36925511350953,103.848464053097,0.459016
5365,1.370603757,103.9630196,1.36706634197242,103.964635610477,0.430513
5366,1.370608407,103.896776,1.37248308734511,103.893788141349,0.391835
5367,1.370612712,103.8792091,1.37931783499145,103.88784708944,1.360382
5368,1.370615176,103.8359677,1.37193729131781,103.845949444498,1.120425
5369,1.370621929,103.9611105,1.36706634197242,103.964635610477,0.555405
5370,1.370623404,103.9481638,1.37228761596577,103.949733905672,0.253762
