hdb_lat,hdb_lon,within_0.1,within_0.3,within_0.5,within_1,within_1.5,within_2.0
1.274636589,103.8096328,0,0,1,2,2,5
1.274660969,103.8352798,0,0,0,3,6,14
1.27469944,103.8404854,0,0,0,5,10,18
1.274770135,103.8269323,0,0,0,0,4,10
1.274831282,103.8109414,0,0,1,2,2,5
1.274896417,103.8089387,0,0,1,2,2,6
1.274922927,103.8134081,0,0,0,1,4,6
1.275071819,103.8258872,0,0,0,0,3,9
1.275159158,103.8101385,0,0,0,2,2,5
1.275236831,103.8426053,0,0,1,6,15,19
1.275245431,103.8111067,0,0,0,2,2,5
1.275301801,103.8392073,0,0,1,5,9,19
1.275328095,103.8073231,0,0,0,2,2,6
1.275352014,103.8269502,0,0,0,0,4,10
1.275353433,103.8135883,0,0,0,1,4,6
1.27535722,103.8079773,0,0,0,2,2,6
1.275363231,103.8087844,0,0,0,2,2,6
1.275409491,103.8206605,0,0,0,0,4,5
1.275498954,103.8413985,0,0,0,5,13,19
1.275532291,103.8412746,0,0,0,5,13,19
1.275583428,103.810314,0,0,0,2,2,5
1.275619186,103.8424313,0,0,1,8,15,19
1.275705008,103.8120071,0,0,0,1,2,5
1.27573844,103.8091894,0,0,0,2,2,6
1.275801013,103.8390326,0,0,1,5,9,19
1.27587917,103.8073298,0,0,0,2,2,6
1.275905201,103.8427412,0,0,1,9,16,19
1.275986995,103.8411918,0,0,1,6,13,19
1.275996185,103.810863,0,0,0,2,2,5
1.276078958,103.8121572,0,0,0,1,2,6
1.276080724,103.8208395,0,0,0,0,4,6
1.276117977,103.80959,0,0,0,2,2,5
1.27624052,103.8430061,0,0,2,9,16,19
1.27625904,103.8429235,0,0,2,9,16,19
1.276336898,103.8191944,0,0,0,0,5,6
1.27637531,103.8113719,0,0,0,1,2,5
1.276531695,103.8075142,0,0,0,2,2,5
1.276559216,103.8198219,0,0,0,0,5,6
1.276621684,103.8411561,0,0,1,7,14,19
1.276631523,103.8208971,0,0,0,0,4,6
1.276661921,103.807128,0,0,0,2,2,5
1.276673811,103.8387891,0,0,1,6,10,19
1.276684338,103.8394591,0,0,1,6,10,19
1.276693247,103.8188666,0,0,0,0,5,6
1.276749457,103.8105415,0,0,0,2,2,5
1.276756464,103.8085252,0,0,0,2,2,7
1.276853136,103.8099486,0,0,0,2,2,5
1.276867842,103.8081486,0,0,0,2,2,7
1.276883074,103.8400856,0,0,2,7,13,19
1.276883151,103.8308839,0,0,0,0,5,12
1.276915948,103.8218187,0,0,0,0,3,8
1.276920243,103.8414858,0,0,3,8,14,19
1.276924352,103.8386795,0,0,3,6,10,19
1.277008235,103.8280562,0,0,0,0,7,11
1.277060448,103.8207621,0,0,0,0,5,6
1.277077068,103.8314259,0,0,0,3,6,13
1.277120122,103.8431177,0,0,2,9,16,19
1.277145597,103.8287389,0,0,0,0,5,13
1.27718546,103.8195162,0,0,0,0,5,7
1.277217301,103.838704,0,1,3,6,10,19
1.277222539,103.8087204,0,0,0,2,2,7
1.277274846,103.8429141,0,0,3,9,16,19
1.277276965,103.8310934,0,0,0,1,6,13
1.277283677,103.8069162,0,0,0,2,2,5
1.277293529,103.8305157,0,0,0,0,5,12
1.277305432,103.8299556,0,0,0,0,5,12
1.277360665,103.8316002,0,0,0,3,6,13
1.27736919,103.8082549,0,0,0,2,2,6
1.277382607,103.821604,0,0,0,0,4,6
1.277395442,103.8204697,0,0,0,0,5,6
1.277416303,103.8393308,0,1,3,7,11,19
1.277449094,103.8416667,0,0,4,9,14,20
1.277731532,103.8197694,0,0,0,0,5,7
