,hdb_lat,hdb_lon,cbd_lat,cbd_lon,distance
77,1.326535882,103.8876728,1.2840350875163564,103.85181594399593,6.165215
78,1.326532648,103.8866336,1.2840350875163564,103.85181594399593,6.090718
79,1.332169382,103.8862967,1.2840350875163564,103.85181594399593,6.561549
80,1.331549855,103.8855179,1.2840350875163564,103.85181594399593,6.455364
81,1.325468011,103.8880774,1.2840350875163564,103.85181594399593,6.105357
82,1.324547611,103.8879439,1.2840350875163564,103.85181594399593,6.019429
83,1.325195913,103.88804,1.2840350875163564,103.85181594399593,6.080052
84,1.324915044,103.8879968,1.2840350875163564,103.85181594399593,6.05364
85,1.324520452,103.8855146,1.2840350875163564,103.85181594399593,5.840004
86,1.324208514,103.8854669,1.2840350875163564,103.85181594399593,5.810183
87,1.327676959,103.8862647,1.2840350875163564,103.85181594399593,6.163243
88,1.326482283,103.8855449,1.2840350875163564,103.85181594399593,6.010012
