,private_lat,private_lon,bus_lat,bus_lon,distance
2527,1.35568567633335,103.865817474507,1.354722,103.865822,0.10656
2528,1.35568905948457,103.881343003096,1.357044,103.881489,0.150701
2529,1.35572889933736,103.887042745912,1.357538,103.885025,0.300732
2530,1.35573626571522,103.881797609171,1.357044,103.881489,0.148625
2531,1.35578226096,103.830006737077,1.35537,103.831589,0.181893
2532,1.35580844926164,103.860815332491,1.354573,103.861333,0.14826
2533,1.35583133423568,103.885285099102,1.357538,103.885025,0.190921
2534,1.35585913489871,103.879193979715,1.354404,103.878342,0.18676
2535,1.35590905178528,103.76073531599,1.355913,103.761934,0.1334
2536,1.35598176439186,103.959457084875,1.356149,103.959826,0.045028
2537,1.35599756098881,103.761252268339,1.355913,103.761934,0.076443
2538,1.35599771004152,103.861150376422,1.354573,103.861333,0.158843
2539,1.35601306530537,103.766973048822,1.356876,103.767328,0.103272
2540,1.3560153779275,103.762587763182,1.355913,103.761934,0.073632
2541,1.35606274589378,103.752766962762,1.357376,103.752893,0.145889
2542,1.35607520516389,103.864668937835,1.354722,103.865822,0.197119
2543,1.35609197708461,103.882175738936,1.357044,103.881489,0.130087
2544,1.35617024663786,103.759315673074,1.353982,103.760092,0.256927
2545,1.35617127763341,103.86542302214,1.354722,103.865822,0.166291
2546,1.35625020017069,103.832580764878,1.35537,103.831589,0.147155
2547,1.35632310011079,103.880402296473,1.357044,103.881489,0.144845
2548,1.35632843123308,103.966578200418,1.356096,103.965477,0.125217
2549,1.35639824853602,103.96773406082,1.355417,103.968952,0.173621
2550,1.35641027088765,103.861383815965,1.354573,103.861333,0.203235
2551,1.35641720019399,103.740927523447,1.357232,103.74087,0.090324
2552,1.35650342718545,103.861069471035,1.354573,103.861333,0.215462
2553,1.35651820736185,103.864994816753,1.354722,103.865822,0.218912
2554,1.35656375714324,103.876449733958,1.356985,103.875682,0.097312
2555,1.35665447059553,103.828736711218,1.357218,103.828802,0.062734
2556,1.35666456053951,103.861495565522,1.354573,103.861333,0.231981
2557,1.35670784140474,103.867714158009,1.356808,103.868156,0.050404
2558,1.35673202559677,103.864424480831,1.354722,103.865822,0.271271
2559,1.35676800402302,103.876689634317,1.356985,103.875682,0.114676
2560,1.3568102986391,103.877013312881,1.356985,103.875682,0.149414
2561,1.35682179002634,103.760463994003,1.357351,103.761501,0.129395
2562,1.35688865505981,103.964194147192,1.35712,103.965174,0.112007
2563,1.35693556334253,103.76007349379,1.357351,103.761501,0.165373
2564,1.35693833011762,103.876569459148,1.356985,103.875682,0.098899
2565,1.35697195260153,103.859913555009,1.358821,103.861832,0.295611
2566,1.35700666338466,103.86880390525,1.356808,103.868156,0.075376
2567,1.35706809696745,103.882212969669,1.357343,103.882272,0.031099
2568,1.35707280748098,103.881090341686,1.357044,103.881489,0.04448
2569,1.35707777906852,103.831738982491,1.35537,103.831589,0.189574
2570,1.35707968895277,103.76116513308,1.357351,103.761501,0.047928
2571,1.35710595902756,103.879490674739,1.357044,103.881489,0.222496
2572,1.35714418869041,103.861839366895,1.358821,103.861832,0.185415
2573,1.35714997234684,103.759135712247,1.357351,103.761501,0.264166
2574,1.35718262700774,103.876035829496,1.356985,103.875682,0.045034
2575,1.35720587577032,103.880899748364,1.357044,103.881489,0.067976
2576,1.35721570859393,103.830970608366,1.35537,103.831589,0.21538
2577,1.35734285723974,103.880518888518,1.357044,103.881489,0.112907
2578,1.35735626791595,103.86019431417,1.358821,103.861832,0.243822
2579,1.35736420475575,103.963972049935,1.35712,103.965174,0.136462
2580,1.35738209038326,103.879526414029,1.357044,103.881489,0.22159
2581,1.35738951423417,103.762088063021,1.357351,103.761501,0.065472
2582,1.35740256615195,103.825779013158,1.357218,103.828802,0.337042
2583,1.35740788950991,103.749966926937,1.356621,103.74965,0.093887
2584,1.35747541724355,103.864817151878,1.359682,103.863582,0.280048
2585,1.35748480619436,103.766004633165,1.358214,103.765072,0.13143
2586,1.35749954046853,103.860000711405,1.358821,103.861832,0.250771
2587,1.35751775678623,103.86142300548,1.358821,103.861832,0.151123
2588,1.35755530701427,103.880781824863,1.357044,103.881489,0.096903
2589,1.35762500819712,103.882734662289,1.357343,103.882272,0.060195
2590,1.35763155144852,103.868981842785,1.358495,103.868227,0.127171
2591,1.357701910828,103.768517892086,1.356752,103.767595,0.146906
2592,1.35772510071947,103.863165450654,1.358821,103.861832,0.191589
2593,1.35776916800998,103.760644324026,1.358041,103.761419,0.091302
2594,1.35781327866677,103.827928659779,1.357818,103.828951,0.113776
2595,1.35789080500562,103.876139399611,1.356985,103.875682,0.112352
2596,1.3579337277843,103.881932039258,1.357343,103.882272,0.075485
2597,1.35796409571587,103.933042954355,1.35846,103.93414,0.133837
2598,1.3580050849725,103.761296515693,1.358041,103.761419,0.014198
2599,1.3580602677218,103.87511623024,1.357228,103.875273,0.093667
