,hdb_lat,hdb_lon,hawker_lat,hawker_lon,distance
5865,1.375182544,103.900406,1.382388,103.892403,1.195001
5866,1.375195205,103.9571484,1.373434,103.951543,0.653504
5867,1.375197381,103.7414264,1.355215,103.741826,2.209997
5868,1.375197838,103.9583431,1.373434,103.951543,0.781496
5869,1.375199146,103.7389661,1.355215,103.741826,2.232548
5870,1.375200096,103.8530598,1.37277,103.854483,0.311913
5871,1.375209773,103.7450182,1.387136,103.761018,2.215746
5872,1.375213345,103.7740957,1.377601,103.77249,0.318803
5873,1.375218187,103.8999953,1.382388,103.892403,1.158636
5874,1.375224695,103.7659225,1.377601,103.77249,0.776679
5875,1.375231642,103.7427666,1.355215,103.741826,2.215812
5876,1.375236556,103.7723684,1.377601,103.77249,0.261798
5877,1.375251968,103.888186,1.375429,103.882978,0.579916
5878,1.375262988,103.7716565,1.377601,103.77249,0.274663
5879,1.375264358,103.9479007,1.373434,103.951543,0.453062
5880,1.375265581,103.881751,1.375429,103.882978,0.13774
5881,1.375293768,103.8554524,1.37277,103.854483,0.299192
5882,1.37529715,103.8777321,1.375429,103.882978,0.583986
5883,1.375305621,103.8393951,1.374489,103.839214,0.09252
5884,1.375311012,103.9420473,1.373434,103.951543,1.076943
5885,1.375313537,103.8362457,1.374489,103.839214,0.342686
5886,1.37531521,103.7650289,1.377601,103.77249,0.867944
5887,1.375321062,103.8932611,1.382388,103.892403,0.78724
5888,1.375343992,103.946874,1.373434,103.951543,0.560884
5889,1.375346635,103.7709554,1.377601,103.77249,0.302167
5890,1.375347978,103.7373171,1.355215,103.741826,2.282053
5891,1.375348223,103.7696578,1.377601,103.77249,0.40174
5892,1.375370676,103.9355177,1.373434,103.951543,1.79623
5893,1.375372172,103.7734541,1.377601,103.77249,0.268794
5894,1.375374291,103.8542588,1.37277,103.854483,0.289048
5895,1.375375847,103.9369737,1.373434,103.951543,1.635539
5896,1.375398696,103.9462315,1.373434,103.951543,0.629762
5897,1.375423473,103.8947287,1.382388,103.892403,0.812432
5898,1.375434885,103.8937434,1.382388,103.892403,0.783177
5899,1.375449824,103.7383495,1.355215,103.741826,2.270667
5900,1.375461631,103.848942,1.372197,103.846519,0.45058
5901,1.375468965,103.8907295,1.382388,103.892403,0.787413
5902,1.375479876,103.7453733,1.387136,103.761018,2.166213
5903,1.375483476,103.8812782,1.375429,103.882978,0.189263
5904,1.375487344,103.9427274,1.373434,103.951543,1.006998
5905,1.375490495,103.9438915,1.373434,103.951543,0.881358
5906,1.3754926,103.7368712,1.355215,103.741826,2.309001
5907,1.375495196,103.8399475,1.374489,103.839214,0.137993
5908,1.375502991,103.7689524,1.377601,103.77249,0.456958
5909,1.375528386,103.7661852,1.377601,103.77249,0.738126
5910,1.375530561,103.9364951,1.373434,103.951543,1.690616
5911,1.375540338,103.8874751,1.375429,103.882978,0.500623
5912,1.375540494,103.7725452,1.377601,103.77249,0.227923
5913,1.375544586,103.8806047,1.375429,103.882978,0.264428
5914,1.37555169,103.9475132,1.373434,103.951543,0.50592
5915,1.375584516,103.8835163,1.375429,103.882978,0.062325
5916,1.375592498,103.7460213,1.387136,103.761018,2.101101
5917,1.375593053,103.8787611,1.375429,103.882978,0.469639
5918,1.375593367,103.8533478,1.37277,103.854483,0.336786
5919,1.375600948,103.74036,1.355215,103.741826,2.260071
5920,1.37562312,103.7413407,1.355215,103.741826,2.257272
5921,1.375632982,103.8931079,1.382388,103.892403,0.751044
5922,1.375637044,103.8887392,1.375429,103.882978,0.641563
5923,1.375645447,103.9358638,1.373434,103.951543,1.761953
5924,1.375663177,103.9416273,1.373434,103.951543,1.13069
5925,1.375670202,103.9339316,1.373434,103.951543,1.975468
5926,1.375685703,103.8962838,1.382388,103.892403,0.857766
5927,1.375708801,103.9454818,1.373434,103.951543,0.71991
5928,1.375722647,103.8371233,1.374489,103.839214,0.269709
5929,1.375724234,103.770322,1.377601,103.77249,0.318242
5930,1.375724748,103.8499343,1.372197,103.846519,0.544632
5931,1.37572584,103.9445967,1.373434,103.951543,0.813516
5932,1.375729575,103.8781874,1.375429,103.882978,0.534169
5933,1.37573322,103.9360886,1.373434,103.951543,1.738573
5934,1.375735175,103.7736092,1.377601,103.77249,0.240995
5935,1.375736366,103.7395846,1.355215,103.741826,2.282817
