,hdb_lat,hdb_lon,bus_lat,bus_lon,distance
2569,1.340651295,103.7075062,1.339862,103.705673,0.2219
2570,1.340668114,103.6963568,1.340746,103.695842,0.057935
2571,1.340679309,103.7084455,1.338762,103.709567,0.246017
2572,1.340693227,103.6878156,1.340474,103.686968,0.097394
2573,1.340695717,103.6968843,1.340859,103.697147,0.034361
2574,1.340703187,103.7363293,1.340142,103.736397,0.062509
2575,1.340708117,103.7447023,1.340567,103.744125,0.066115
2576,1.340710896,103.7412132,1.341299,103.74092,0.072757
2577,1.340719307,103.7405629,1.341299,103.74092,0.07542
2578,1.340728859,103.7467812,1.339121,103.746162,0.190676
2579,1.340736057,103.6947869,1.340976,103.694378,0.052676
2580,1.340776789,103.7380191,1.342084,103.738002,0.144557
2581,1.340784384,103.6978761,1.340882,103.697365,0.057895
2582,1.34079663,103.6951834,1.34055,103.695292,0.029829
2583,1.340817221,103.7357556,1.340142,103.736397,0.103294
2584,1.340835043,103.7060067,1.339862,103.705673,0.113823
2585,1.34084175,103.7369183,1.340142,103.736397,0.096709
2586,1.340849911,103.9514337,1.340542,103.951355,0.035156
2587,1.340876446,103.85083,1.340367,103.850082,0.100513
2588,1.340901578,103.7464371,1.339121,103.746162,0.199253
2589,1.340919078,103.6892449,1.340382,103.690014,0.104177
2590,1.340924594,103.9507425,1.340542,103.951355,0.080226
2591,1.34092565,103.7005614,1.34011,103.699324,0.164615
2592,1.340940348,103.8443059,1.340143,103.844657,0.096437
2593,1.340946409,103.6995254,1.34011,103.699324,0.095163
2594,1.340960547,103.7474537,1.339121,103.746162,0.249077
2595,1.340964835,103.7409141,1.341299,103.74092,0.036956
2596,1.340974795,103.7016029,1.340717,103.70257,0.111339
2597,1.341004936,103.8544125,1.339932,103.853907,0.131302
2598,1.341005801,103.6898988,1.340382,103.690014,0.070158
2599,1.341034437,103.708341,1.343061,103.708053,0.226368
2600,1.341061857,103.7479644,1.339121,103.746162,0.293757
2601,1.341067511,103.7415732,1.341299,103.74092,0.077069
2602,1.341071094,103.73747,1.342084,103.738002,0.126688
2603,1.341072012,103.7360897,1.341917,103.735736,0.101388
2604,1.34108919,103.6878703,1.341965,103.688462,0.11711
2605,1.341091608,103.7080237,1.343061,103.708053,0.21779
2606,1.341104574,103.7053529,1.339862,103.705673,0.141941
2607,1.341117369,103.7447947,1.340567,103.744125,0.09622
2608,1.341127495,103.7381012,1.342084,103.738002,0.10634
2609,1.341138036,103.8501266,1.34084,103.849806,0.04857
2610,1.341140173,103.6859308,1.340669,103.686875,0.117286
2611,1.341148421,103.7022957,1.340913,103.702624,0.044861
2612,1.341175181,103.6864521,1.340669,103.686875,0.073129
2613,1.341176079,103.8560662,1.341375,103.857323,0.141587
2614,1.341219489,103.8472888,1.340951,103.847856,0.069756
2615,1.341219557,103.8454928,1.340953,103.845462,0.029673
2616,1.341220505,103.6852284,1.340669,103.686875,0.19313
2617,1.341229193,103.6943936,1.340976,103.694378,0.028051
2618,1.341229743,103.7461194,1.341926,103.744202,0.22685
2619,1.341238207,103.8463895,1.340953,103.845462,0.107931
2620,1.341257872,103.7030009,1.340913,103.702624,0.056689
2621,1.341264797,103.8555528,1.339934,103.856585,0.186681
2622,1.34128334,103.8446055,1.340953,103.845462,0.102078
2623,1.341286949,103.6920694,1.34092,103.691728,0.055587
2624,1.34129441,103.6892708,1.342012,103.689107,0.081414
2625,1.341318927,103.7467257,1.339121,103.746162,0.251002
2626,1.341332844,103.703404,1.340913,103.702624,0.09844
2627,1.341341309,103.7443434,1.341926,103.744202,0.06654
2628,1.341341818,103.6924912,1.34092,103.691728,0.0969
2629,1.34134725,103.9513551,1.341893,103.951764,0.075581
2630,1.341357488,103.7067075,1.342536,103.705546,0.18355
2631,1.341358007,103.6872696,1.340669,103.686875,0.087937
2632,1.34137215,103.7367542,1.341917,103.735736,0.128335
2633,1.341404713,103.7358435,1.341917,103.735736,0.057896
2634,1.341454729,103.6994817,1.34011,103.699324,0.149725
2635,1.341455371,103.6879703,1.341965,103.688462,0.078549
2636,1.34146035,103.7456777,1.341926,103.744202,0.172112
2637,1.341481293,103.7429734,1.341602,103.743616,0.072749
2638,1.34148414,103.8490677,1.34084,103.849806,0.108739
2639,1.341517346,103.6998994,1.34011,103.699324,0.168277
2640,1.341520117,103.698797,1.340163,103.698592,0.151787
2641,1.341529116,103.8495891,1.34084,103.849806,0.079931
2642,1.341531004,103.956986,1.341232,103.95707,0.034359
2643,1.341532478,103.7056699,1.342536,103.705546,0.111818
2644,1.341535833,103.737488,1.342084,103.738002,0.083343
2645,1.341552529,103.8472951,1.340951,103.847856,0.091217
2646,1.341552751,103.8463859,1.340953,103.845462,0.122352
2647,1.341553399,103.8454896,1.340953,103.845462,0.06646
2648,1.34155375,103.7005028,1.34011,103.699324,0.20663
2649,1.341566764,103.6979704,1.340882,103.697365,0.101353
2650,1.341621407,103.6897342,1.342012,103.689107,0.082082
2651,1.341630323,103.6958322,1.340746,103.695842,0.09779
2652,1.341672665,103.9565424,1.341232,103.95707,0.076301
2653,1.341672927,103.8510078,1.34084,103.849806,0.162391
2654,1.341680798,103.7417833,1.341299,103.74092,0.104942
2655,1.341681996,103.7462455,1.341926,103.744202,0.229014
2656,1.34170246,103.692917,1.34092,103.691728,0.158098
2657,1.341714031,103.7367332,1.341917,103.735736,0.113224
2658,1.341748418,103.7047943,1.342536,103.705546,0.120758
2659,1.341752015,103.6886642,1.341965,103.688462,0.032573
2660,1.341758561,103.7014904,1.340913,103.702624,0.157027
2661,1.341765902,103.8560412,1.34305,103.856371,0.146656
2662,1.341770677,103.7063128,1.342536,103.705546,0.120182
2663,1.341776588,103.7400573,1.341461,103.740531,0.063221
2664,1.34178121,103.7372515,1.342084,103.738002,0.089983
2665,1.341783047,103.693952,1.340976,103.694378,0.101051
2666,1.341818371,103.6868369,1.340669,103.686875,0.127162
2667,1.341820669,103.7360878,1.341917,103.735736,0.040575
2668,1.341821167,103.952586,1.341893,103.951764,0.091824
2669,1.341828137,103.8551079,1.34305,103.856371,0.194971
2670,1.341830557,103.7380203,1.342084,103.738002,0.028098
2671,1.341831445,103.7028808,1.340913,103.702624,0.105502
2672,1.341833707,103.8543707,1.343527,103.854612,0.189152
2673,1.341847393,103.6985167,1.342729,103.697979,0.114385
2674,1.341853483,103.8448147,1.340953,103.845462,0.122897
