,hdb_lat,hdb_lon,park_lat,park_lon,distance
224,1.28365235,103.8154111,1.278845,103.810545,0.75885
225,1.283851579,103.8289647,1.283602,103.829747,0.091333
226,1.283910308,103.8149833,1.278845,103.810545,0.746787
227,1.283912294,103.8160061,1.278845,103.810545,0.826647
228,1.283991598,103.8310708,1.283602,103.829747,0.153497
229,1.284003917,103.8315298,1.283602,103.829747,0.203327
230,1.284009681,103.8274214,1.283602,103.829747,0.262717
231,1.28407985,103.8305255,1.283602,103.829747,0.101481
232,1.284128096,103.8145438,1.278845,103.810545,0.734383
233,1.284193538,103.8459859,1.286639,103.846578,0.27832
234,1.284205817,103.8310634,1.283602,103.829747,0.161001
235,1.284226486,103.8316063,1.283602,103.829747,0.218142
236,1.284299357,103.830518,1.283602,103.829747,0.115363
237,1.284420207,103.8310569,1.283602,103.829747,0.171574
238,1.284425405,103.8239092,1.287384,103.824695,0.338633
239,1.28443457,103.831599,1.283602,103.829747,0.225738
240,1.284565755,103.8453799,1.286639,103.846578,0.265206
241,1.284587128,103.8243603,1.287384,103.824695,0.311499
242,1.284594557,103.8462209,1.286639,103.846578,0.229531
243,1.284670567,103.8310493,1.283602,103.829747,0.186995
244,1.284690696,103.8315909,1.283602,103.829747,0.237915
245,1.284748327,103.8268757,1.283602,103.829747,0.343774
246,1.284858608,103.8425788,1.281609,103.841636,0.374331
247,1.284864669,103.8305005,1.283602,103.829747,0.162867
248,1.284881937,103.8310424,1.283602,103.829747,0.202026
249,1.284887046,103.8227818,1.287384,103.824695,0.348666
250,1.284887947,103.8264446,1.287384,103.824695,0.337773
251,1.284899222,103.8315842,1.283602,103.829747,0.249762
252,1.284962797,103.8456183,1.286639,103.846578,0.213918
253,1.285057315,103.823812,1.287384,103.824695,0.275402
254,1.285084465,103.8304936,1.283602,103.829747,0.183779
255,1.285086563,103.8257828,1.287384,103.824695,0.281411
256,1.285101769,103.8310352,1.283602,103.829747,0.219216
257,1.285119168,103.8315772,1.283602,103.829747,0.263878
258,1.285122153,103.8216069,1.287384,103.824695,0.42505
259,1.285212192,103.8457662,1.286639,103.846578,0.181806
260,1.285282206,103.823095,1.287384,103.824695,0.29278
261,1.285296918,103.8332353,1.283602,103.829747,0.43109
262,1.28532859,103.8033968,1.279263,103.797934,0.905241
263,1.285381443,103.8304007,1.283602,103.829747,0.209781
264,1.28540981,103.8312809,1.283602,103.829747,0.262871
265,1.285437042,103.8308393,1.283602,103.829747,0.236538
266,1.285438216,103.8321614,1.283602,103.829747,0.336788
267,1.285465349,103.8317194,1.283602,103.829747,0.301061
268,1.285493784,103.8326,1.283602,103.829747,0.380229
269,1.285570416,103.8262762,1.287384,103.824695,0.266799
270,1.285595165,103.8155474,1.278845,103.810545,0.931158
271,1.285615264,103.8331163,1.283602,103.829747,0.436078
272,1.285624598,103.8259233,1.287384,103.824695,0.23777
273,1.285670557,103.8308321,1.283602,103.829747,0.258653
274,1.285697382,103.8303912,1.283602,103.829747,0.242535
275,1.285699484,103.8317118,1.283602,103.829747,0.318757
276,1.285726545,103.8312705,1.283602,103.829747,0.289717
277,1.285727781,103.8325924,1.283602,103.829747,0.394375
278,1.285754796,103.8321508,1.283602,103.829747,0.358098
279,1.285823318,103.8035322,1.279263,103.797934,0.956235
280,1.285840812,103.8185963,1.28998,103.823156,0.683368
281,1.28603089,103.8190237,1.28998,103.823156,0.634178
282,1.286136936,103.8330279,1.283602,103.829747,0.460318
283,1.28613832,103.8310699,1.283602,103.829747,0.316749
284,1.286159709,103.8304481,1.283602,103.829747,0.293384
285,1.286178783,103.8323096,1.283602,103.829747,0.403138
286,1.286200432,103.8316877,1.283602,103.829747,0.359447
287,1.286235215,103.8423033,1.284519,103.838652,0.448487
288,1.286336847,103.8292048,1.283602,103.829747,0.308367
289,1.286358471,103.8296262,1.283602,103.829747,0.305093
290,1.286403502,103.809742,1.278845,103.810545,0.840544
291,1.28645354,103.8082424,1.278845,103.810545,0.879475
292,1.286458819,103.8042002,1.279263,103.797934,1.058034
293,1.286486402,103.8185497,1.28998,103.823156,0.641898
294,1.286492541,103.8214336,1.287384,103.824695,0.376113
295,1.286513575,103.8371273,1.284519,103.838652,0.278273
296,1.28652537,103.8301248,1.283602,103.829747,0.325974
297,1.286529621,103.8331631,1.290769,103.831802,0.492636
298,1.286545996,103.8308245,1.283602,103.829747,0.346916
299,1.286588783,103.8319503,1.283602,103.829747,0.411341
300,1.286621904,103.8089633,1.278845,103.810545,0.877762
301,1.286629213,103.8068619,1.278845,103.810545,0.953356
302,1.286673707,103.8324817,1.283602,103.829747,0.456063
303,1.286726327,103.8167005,1.28998,103.823156,0.803491
304,1.286742975,103.8126313,1.278845,103.810545,0.903656
305,1.286756544,103.8101217,1.278845,103.810545,0.876085
306,1.286814178,103.8289283,1.283602,103.829747,0.366686
307,1.286827152,103.8286595,1.283602,103.829747,0.376599
308,1.286835248,103.8313476,1.283602,103.829747,0.399436
309,1.286850982,103.8117125,1.278845,103.810545,0.894745
310,1.286857679,103.8328459,1.290769,103.831802,0.447826
311,1.286868975,103.8194359,1.28998,103.823156,0.53828
312,1.28687207,103.8160261,1.28998,103.823156,0.864719
313,1.286920062,103.8186736,1.28998,103.823156,0.602774
314,1.286955402,103.8110008,1.278845,103.810545,0.89824
315,1.286973834,103.8390758,1.284519,103.838652,0.27551
316,1.286977039,103.8215588,1.287384,103.824695,0.351922
317,1.287016529,103.8163748,1.28998,103.823156,0.822761
318,1.287016949,103.8303033,1.283602,103.829747,0.382649
319,1.287077496,103.8127058,1.278845,103.810545,0.941535
320,1.287151475,103.8118327,1.278845,103.810545,0.9296
321,1.287277396,103.8109636,1.278845,103.810545,0.933574
322,1.28728822,103.831873,1.290769,103.831802,0.384968
323,1.287300521,103.8079883,1.278845,103.810545,0.977306
324,1.287319025,103.8174756,1.28998,103.823156,0.6973
325,1.287377627,103.8394071,1.284519,103.838652,0.327072
326,1.287405027,103.816392,1.28998,103.823156,0.804824
327,1.287406406,103.8220532,1.287384,103.824695,0.294021
328,1.287421225,103.8284155,1.287384,103.824695,0.414081
329,1.287422103,103.8194349,1.28998,103.823156,0.501497
330,1.287422399,103.8312389,1.290769,103.831802,0.375319
331,1.28745837,103.8326758,1.290769,103.831802,0.378769
332,1.28748905,103.8117141,1.278845,103.810545,0.964629
333,1.287526863,103.8320205,1.290769,103.831802,0.359323
334,1.287531165,103.8070202,1.278845,103.810545,1.037492
335,1.287543322,103.8213351,1.28998,103.823156,0.337139
336,1.287613426,103.8122721,1.278845,103.810545,0.988436
337,1.28762317,103.8414629,1.284519,103.838652,0.464412
338,1.287638699,103.8314433,1.290769,103.831802,0.348427
339,1.287669769,103.8282029,1.287384,103.824695,0.391676
340,1.287674258,103.8388579,1.284519,103.838652,0.349644
341,1.287718959,103.8072806,1.278845,103.810545,1.046333
342,1.287758183,103.8194936,1.28998,103.823156,0.47591
343,1.287807531,103.8327806,1.290769,103.831802,0.3451
344,1.287861305,103.8076482,1.278845,103.810545,1.047806
345,1.287877158,103.8114409,1.278845,103.810545,1.003694
346,1.28789877,103.8282036,1.287384,103.824695,0.394604
347,1.287904618,103.8321977,1.290769,103.831802,0.319775
348,1.28793757,103.8167909,1.28998,103.823156,0.743511
349,1.287963807,103.8162431,1.28998,103.823156,0.800998
350,1.287973009,103.8088393,1.278845,103.810545,1.027024
351,1.287988788,103.8219473,1.28998,103.823156,0.258018
352,1.288001696,103.8316146,1.290769,103.831802,0.306704
353,1.288053157,103.8152771,1.28998,103.823156,0.902368
354,1.28805664,103.8212853,1.28998,103.823156,0.297616
355,1.288076876,103.8270813,1.287384,103.824695,0.276405
356,1.288098683,103.831032,1.290769,103.831802,0.307454
357,1.288114518,103.8290403,1.290769,103.831802,0.424994
358,1.288171345,103.828454,1.287384,103.824695,0.427308
359,1.288200189,103.8083694,1.278845,103.810545,1.062407
360,1.288213201,103.8332335,1.290769,103.831802,0.324419
361,1.288295797,103.8261447,1.287384,103.824695,0.190251
362,1.288359771,103.8270569,1.287384,103.824695,0.284142
363,1.288381067,103.8173911,1.28998,103.823156,0.665499
364,1.288475431,103.8328482,1.290769,103.831802,0.279061
365,1.288480938,103.8158788,1.28998,103.823156,0.826679
366,1.288487134,103.8133515,1.28998,103.823156,1.103573
367,1.288494662,103.808777,1.278845,103.810545,1.085
368,1.288525352,103.8284586,1.287384,103.824695,0.437457
369,1.288553932,103.82729,1.287384,103.824695,0.316452
370,1.288575947,103.8078682,1.278845,103.810545,1.116476
371,1.288596672,103.8291763,1.290769,103.831802,0.378272
372,1.288632893,103.8105346,1.278845,103.810545,1.082295
373,1.288633343,103.8100159,1.278845,103.810545,1.083945
374,1.288633659,103.8096439,1.278845,103.810545,1.087015
375,1.28871632,103.8168546,1.28998,103.823156,0.715077
376,1.288816153,103.8082053,1.278845,103.810545,1.132889
377,1.288847235,103.8134506,1.28998,103.823156,1.087367
378,1.289023143,103.816276,1.28998,103.823156,0.772961
379,1.289056347,103.8275021,1.287384,103.824695,0.363033
380,1.289075068,103.8153184,1.28998,103.823156,0.877979
381,1.289135952,103.8136775,1.28998,103.823156,1.058997
382,1.289229289,103.8091934,1.278845,103.810545,1.158052
383,1.289285559,103.8034015,1.279263,103.797934,1.264302
384,1.289308932,103.8292333,1.290769,103.831802,0.328313
385,1.289336654,103.8289203,1.290769,103.831802,0.357685
386,1.289369275,103.8215381,1.28998,103.823156,0.192306
387,1.289424524,103.8223055,1.28998,103.823156,0.112836
388,1.289442681,103.8262014,1.287384,103.824695,0.282711
389,1.28951776,103.8284671,1.290769,103.831802,0.396095
390,1.289651,103.8153995,1.28998,103.823156,0.863999
391,1.289742097,103.8213757,1.28998,103.823156,0.199871
392,1.289764755,103.8268029,1.287384,103.824695,0.352611
393,1.290020507,103.803188,1.282462,103.794116,1.310686
394,1.29003093,103.8026043,1.282462,103.794116,1.26209
395,1.290066863,103.8292459,1.290769,103.831802,0.294876
396,1.290087191,103.828,1.290769,103.831802,0.429794
397,1.290129527,103.8289143,1.290769,103.831802,0.329063
398,1.290138585,103.8284533,1.290769,103.831802,0.379145
399,1.290214202,103.8223568,1.28998,103.823156,0.092637
400,1.290366187,103.8215771,1.28998,103.823156,0.180832
401,1.290434865,103.8031059,1.282462,103.794116,1.333498
402,1.290659806,103.8326083,1.290769,103.831802,0.090543
403,1.29069966,103.802363,1.282462,103.794116,1.293095
404,1.290717998,103.8216252,1.28998,103.823156,0.188901
405,1.290732462,103.8038469,1.282462,103.794116,1.417441
406,1.290764057,103.8019164,1.282462,103.794116,1.263468
407,1.290911282,103.8031208,1.282462,103.794116,1.370109
408,1.291134836,103.8267645,1.28998,103.823156,0.421408
409,1.291293745,103.8274764,1.290769,103.831802,0.484886
410,1.291518248,103.8025131,1.282462,103.794116,1.369718
411,1.291543916,103.803508,1.282462,103.794116,1.449493
412,1.291698335,103.8273345,1.28998,103.823156,0.50235
413,1.291734122,103.8280261,1.290769,103.831802,0.433564
414,1.291828624,103.8265458,1.28998,103.823156,0.429076
415,1.291876436,103.8026323,1.282462,103.794116,1.407832
416,1.292075251,103.8285841,1.290769,103.831802,0.386155
417,1.292096907,103.8042298,1.282462,103.794116,1.549827
418,1.292241806,103.8276014,1.290769,103.831802,0.495045
419,1.292254671,103.802857,1.282462,103.794116,1.455625
420,1.292255234,103.8148798,1.28998,103.823156,0.954811
421,1.292316477,103.814606,1.28998,103.823156,0.985991
422,1.292382728,103.8001963,1.282462,103.794116,1.288905
423,1.292483167,103.8152362,1.28998,103.823156,0.923844
424,1.292721267,103.8148357,1.28998,103.823156,0.974327
425,1.292740384,103.8028067,1.282462,103.794116,1.492374
426,1.292750071,103.7999359,1.282462,103.794116,1.309069
427,1.292778586,103.808446,1.278845,103.810545,1.558313
428,1.293055547,103.8144244,1.28998,103.823156,1.029541
429,1.29308496,103.8107889,1.28998,103.823156,1.418527
430,1.293085872,103.8118849,1.28998,103.823156,1.30054
