,private_lat,private_lon,hawker_lat,hawker_lon,distance
935,1.31263191926118,103.90763813785,1.309414,103.901825,0.738342
936,1.31263398381288,103.894910348642,1.315142,103.895609,0.288017
937,1.31263448713718,103.798064584264,1.310908,103.794863,0.404226
938,1.31264806496492,103.920531159514,1.305775,103.915762,0.92698
939,1.31264875307626,103.900581034415,1.309414,103.901825,0.38354
940,1.31265222713663,103.906189486223,1.309414,103.901825,0.603441
941,1.31266290803793,103.911509004252,1.305775,103.915762,0.896722
942,1.31268459175571,103.885941111431,1.308252,103.885833,0.490281
943,1.31269286351102,103.91441930412,1.305775,103.915762,0.7794
944,1.31269794714045,103.886776844129,1.308252,103.885833,0.502707
945,1.31270184017357,103.859968759019,1.307337,103.856854,0.687072
946,1.31270496152836,103.78147806298,1.310996,103.788231,0.774931
947,1.31271258775879,103.912125239337,1.305775,103.915762,0.867346
948,1.31271291502007,103.848402147578,1.31616,103.850225,0.431785
949,1.31271363894631,103.800983401533,1.306892,103.800363,0.647419
950,1.31271535895398,103.913784894594,1.305775,103.915762,0.79835
951,1.31271777977328,103.895271676171,1.315142,103.895609,0.270674
952,1.31273680388072,103.847194656397,1.31616,103.850225,0.506965
953,1.31274690453463,103.847597879821,1.31616,103.850225,0.477404
954,1.31275329709404,103.923657863473,1.305775,103.915762,1.169436
955,1.31276346405244,103.883518875617,1.308252,103.885833,0.561411
956,1.31277485329606,103.885104634024,1.308252,103.885833,0.506641
957,1.31277604580511,103.882455638462,1.317083,103.879417,0.584093
958,1.31278422240834,103.887200888953,1.308252,103.885833,0.523761
959,1.31278741680729,103.799362688634,1.310908,103.794863,0.542182
960,1.3127948955542,103.895663772368,1.315142,103.895609,0.259602
961,1.31280480687331,103.916690957392,1.305775,103.915762,0.784165
962,1.3128109735379,103.848314426322,1.31616,103.850225,0.42702
963,1.31282978234139,103.895910698856,1.315142,103.895609,0.257868
964,1.31283005660824,103.890193955593,1.315142,103.895609,0.654623
