,hdb_lat,hdb_lon,supermarket_lat,supermarket_lon,distance
9043,1.437066282,103.8311207,1.435761,103.836724,0.640048
9044,1.437095581,103.8327775,1.435761,103.836724,0.463315
9045,1.437125378,103.840329,1.436114,103.837605,0.32311
9046,1.437133553,103.7946714,1.437557,103.795136,0.069753
9047,1.437135296,103.7963721,1.437557,103.795136,0.145247
9048,1.437185595,103.7970904,1.437557,103.795136,0.221338
9049,1.437192165,103.7938909,1.437557,103.795136,0.144314
9050,1.437202545,103.7943509,1.437557,103.795136,0.095758
9051,1.437217697,103.8395063,1.436114,103.837605,0.244259
9052,1.437219087,103.7815768,1.433513,103.779747,0.457604
9053,1.43724909,103.7901915,1.435078,103.78662,0.46433
9054,1.437298432,103.7822271,1.436008,103.785689,0.410832
9055,1.4373687,103.7770722,1.433513,103.779747,0.519974
9056,1.437395453,103.8319391,1.435761,103.836724,0.562321
9057,1.437414045,103.7982576,1.437557,103.795136,0.347746
9058,1.437421344,103.8399825,1.436114,103.837605,0.301496
9059,1.437427215,103.8026333,1.439984,103.801293,0.319649
9060,1.437454883,103.7789273,1.433513,103.779747,0.445317
9061,1.437458666,103.8390399,1.436114,103.837605,0.218188
9062,1.437520434,103.7809536,1.433513,103.779747,0.46302
9063,1.437533895,103.778071,1.433513,103.779747,0.482147
9064,1.437562342,103.7933202,1.437557,103.795136,0.202072
9065,1.437569562,103.7777638,1.433513,103.779747,0.499909
9066,1.437572776,103.7964141,1.437557,103.795136,0.142244
9067,1.437589618,103.7896736,1.435078,103.78662,0.43887
9068,1.4375976,103.7815756,1.436008,103.785689,0.490345
9069,1.437603214,103.8324682,1.435761,103.836724,0.515555
9070,1.437606817,103.8004023,1.439916,103.800701,0.257492
9071,1.437633121,103.8032323,1.439984,103.801293,0.337859
9072,1.437655724,103.7767256,1.433513,103.779747,0.568237
9073,1.437685381,103.839677,1.436114,103.837605,0.28872
9074,1.437696282,103.8015689,1.439984,103.801293,0.254821
9075,1.43773146,103.7941358,1.437557,103.795136,0.112966
9076,1.437737159,103.7991765,1.439916,103.800701,0.294665
9077,1.437743469,103.7911719,1.437557,103.795136,0.441625
