,hdb_lat,hdb_lon,mrtlrt_lat,mrtlrt_lon,distance
6004,1.376263241,103.764451,1.37791644778218,103.7630222694,0.242277
6005,1.376280065,103.9013876,1.38403076701516,103.902257550997,0.862484
6006,1.376295016,103.882146,1.37128117483103,103.892347534172,1.263441
6007,1.376298403,103.9002208,1.38403076701516,103.902257550997,0.88454
6008,1.376304182,103.7474576,1.37861216691834,103.749051503721,0.310796
6009,1.376314852,103.8874736,1.37128117483103,103.892347534172,0.77718
6010,1.376355124,103.7383602,1.38029828610944,103.745291799876,0.886097
6011,1.376357457,103.8420565,1.3817576070024,103.844800823243,0.670692
6012,1.376361936,103.7699188,1.37612653786325,103.771279750058,0.153677
6013,1.376371236,103.8835196,1.37128117483103,103.892347534172,1.132241
6014,1.376374482,103.7673243,1.37775464931119,103.766667312264,0.169222
6015,1.376382244,103.9417492,1.37295187483845,103.949257638047,0.91766
6016,1.376386083,103.9424626,1.37295187483845,103.949257638047,0.846194
6017,1.376391724,103.7679128,1.37775464931119,103.766667312264,0.204754
6018,1.376398889,103.8841007,1.37128117483103,103.892347534172,1.07821
6019,1.376400203,103.9335398,1.37295187483845,103.949257638047,1.790278
6020,1.376417067,103.9395942,1.37295187483845,103.949257638047,1.141642
6021,1.376422216,103.7405047,1.38029828610944,103.745291799876,0.683748
6022,1.37644095,103.8885273,1.37128117483103,103.892347534172,0.711524
6023,1.37644232,103.8901338,1.37128117483103,103.892347534172,0.621598
6024,1.376459245,103.8948573,1.37128117483103,103.892347534172,0.637057
6025,1.37647118,103.772398,1.37612653786325,103.771279750058,0.130152
6026,1.376471718,103.7648842,1.37775464931119,103.766667312264,0.24393
6027,1.37647221,103.9327618,1.37295187483845,103.949257638047,1.876599
6028,1.376472216,103.8938221,1.37128117483103,103.892347534172,0.596996
6029,1.376476565,103.7371352,1.38029828610944,103.745291799876,1.001274
6030,1.376491643,103.7692827,1.37612653786325,103.771279750058,0.225884
6031,1.376492074,103.885772,1.37128117483103,103.892347534172,0.931395
6032,1.376495198,103.77421,1.37612653786325,103.771279750058,0.328638
6033,1.376512807,103.7391377,1.38029828610944,103.745291799876,0.802659
6034,1.376520185,103.7380257,1.38029828610944,103.745291799876,0.910166
6035,1.376526038,103.77168,1.37612653786325,103.771279750058,0.062733
6036,1.376537545,103.7690422,1.37612653786325,103.771279750058,0.253125
6037,1.37658461,103.7422972,1.38029828610944,103.745291799876,0.528855
6038,1.376596783,103.7399496,1.38029828610944,103.745291799876,0.721786
