,private_lat,private_lon,park_lat,park_lon,distance
2685,1.36118084812464,103.875532443542,1.365945,103.877541,0.572258
2686,1.36118814879081,103.765053074687,1.360396,103.760935,0.466589
2687,1.36122364069375,103.878553186555,1.360893,103.882131,0.399844
2688,1.36145264396973,103.963946811219,1.361964,103.96619,0.255964
2689,1.36148530906735,103.882120007166,1.360893,103.882131,0.065506
2690,1.36150960154245,103.887627003056,1.360893,103.882131,0.615429
2691,1.36153094393341,103.889409749076,1.367786,103.890628,0.704815
2692,1.36153218598022,103.880036891642,1.360893,103.882131,0.243531
2693,1.36155858286254,103.877629237437,1.365945,103.877541,0.485127
2694,1.36156652196052,103.970683005345,1.362876,103.972115,0.21532
2695,1.36156729111649,103.885363752044,1.360893,103.882131,0.367412
2696,1.36159913009846,103.877967293114,1.364073,103.881278,0.458888
2697,1.36165022207279,103.883224620474,1.360893,103.882131,0.147727
2698,1.36167031616008,103.866449945843,1.360508,103.866043,0.136269
2699,1.36169891704105,103.890840106092,1.367786,103.890628,0.673492
2700,1.3617182771819,103.832885890926,1.362126,103.833558,0.087334
2701,1.36173297048128,103.882116954567,1.360893,103.882131,0.092893
2702,1.36176973204572,103.832603672168,1.362126,103.833558,0.113276
2703,1.3617773209101,103.891667519955,1.367786,103.890628,0.674406
2704,1.361806103754,103.886313638552,1.360893,103.882131,0.476303
2705,1.36188087378278,103.881398348867,1.360893,103.882131,0.136309
2706,1.36189905774471,103.967587333891,1.361964,103.96619,0.155673
2707,1.36189921422964,103.87861280778,1.364073,103.881278,0.381772
2708,1.36191243087045,103.828998901999,1.362022,103.828415,0.066101
2709,1.36193778887218,103.96977768138,1.362876,103.972115,0.280041
2710,1.36194304732652,103.830183411155,1.361014,103.830174,0.102735
2711,1.36196945619786,103.864667129807,1.360384,103.865667,0.207644
2712,1.3619760292092,103.884992801669,1.360893,103.882131,0.340256
2713,1.36204883896968,103.867325530053,1.360508,103.866043,0.222263
2714,1.3620535018461,103.874244125204,1.365945,103.877541,0.565489
2715,1.3620994674031,103.886835430404,1.360893,103.882131,0.540277
2716,1.36210131581593,103.866433049912,1.360508,103.866043,0.181449
2717,1.36213119169538,103.873964020299,1.365945,103.877541,0.579918
2718,1.36213600999851,103.881423538284,1.360893,103.882131,0.158398
2719,1.36217334688886,103.8727975957,1.365945,103.877541,0.67275
2720,1.36218188592925,103.86481853712,1.360384,103.865667,0.220086
2721,1.36218777235824,103.865410762448,1.360508,103.866043,0.198621
2722,1.36224150337995,103.878014692236,1.365945,103.877541,0.412893
2723,1.36224235330294,103.965114956014,1.361964,103.96619,0.123535
2724,1.36230952965649,103.873853433408,1.365945,103.877541,0.574466
2725,1.36234524558297,103.875309861318,1.365945,103.877541,0.469138
2726,1.36237930482573,103.966450028146,1.361964,103.96619,0.05428
2727,1.36240627671459,103.881234120346,1.364073,103.881278,0.184362
2728,1.36245537458618,103.968198334771,1.363468,103.9664,0.229327
2729,1.36255023290676,103.883551791779,1.360893,103.882131,0.242035
2730,1.36264894007541,103.88853861462,1.367786,103.890628,0.61378
2731,1.36265043160726,103.868881510025,1.360508,103.866043,0.394854
2732,1.36267372286237,103.865387404309,1.360508,103.866043,0.250342
2733,1.36269480854643,103.887427905362,1.360893,103.882131,0.622242
2734,1.36274315354694,103.886991476873,1.360893,103.882131,0.578309
2735,1.36289802477235,103.879106446851,1.364073,103.881278,0.274378
2736,1.36290401961155,103.878886421716,1.364073,103.881278,0.295882
2737,1.3630045698738,103.965156679641,1.363468,103.9664,0.147551
2738,1.3630484556857,103.885752438839,1.360893,103.882131,0.468224
2739,1.36306930491581,103.873945366339,1.365945,103.877541,0.511109
2740,1.36309053458998,103.968871760556,1.363468,103.9664,0.278226
2741,1.36315342571197,103.874411909823,1.365945,103.877541,0.465346
