,private_lat,private_lon,supermarket_lat,supermarket_lon,distance
2189,1.34076315278132,103.76993054356,1.340827,103.774213,0.476644
2190,1.34082770311651,103.774215677961,1.340827,103.774213,0.000308
2191,1.34084242760303,103.773637999482,1.340827,103.774213,0.064014
2192,1.340855783603,103.77313936698,1.340827,103.774213,0.119526
2193,1.34093520136311,103.76066764737,1.346699,103.757277,0.740661
2194,1.34101528932946,103.77097733992,1.340827,103.774213,0.360695
2195,1.34120980441122,103.956288849924,1.342706,103.953025,0.399134
2196,1.3412455031561,103.765326950008,1.340827,103.774213,0.990004
2197,1.34130342076985,103.953347730205,1.342706,103.953025,0.159195
2198,1.34133334202695,103.77234396073,1.340827,103.774213,0.215407
2199,1.34139664235083,103.771872497269,1.340827,103.774213,0.26798
2200,1.34145315588587,103.955676936598,1.342706,103.953025,0.326028
2201,1.34148201148685,103.773378872351,1.340827,103.774213,0.117742
2202,1.34164555266096,103.960840438699,1.33492,103.963654,0.806907
2203,1.34169538178112,103.958080755214,1.342706,103.953025,0.573641
2204,1.34180018619223,103.776259359854,1.342393,103.776251,0.065557
2205,1.34189705923069,103.716309075246,1.346348,103.712429,0.654739
2206,1.34203320458076,103.77401091456,1.342075,103.774633,0.069385
2207,1.34205496405592,103.774198243954,1.342075,103.774633,0.048434
2208,1.34206867721839,103.841077228125,1.338891,103.848993,0.948429
2209,1.34208421838078,103.773703553925,1.342075,103.774633,0.103442
2210,1.34221588710778,103.961263111157,1.33492,103.963654,0.849489
2211,1.34227602058456,103.88425632748,1.345608,103.882696,0.407304
2212,1.34228021755455,103.775055813408,1.342075,103.774633,0.05224
2213,1.34228346659322,103.961025030688,1.33492,103.963654,0.865186
2214,1.34233915141746,103.960298333021,1.342706,103.953025,0.810459
2215,1.34241264188642,103.776539385406,1.342393,103.776251,0.032168
2216,1.34249156877069,103.771747221492,1.342075,103.774633,0.324442
2217,1.3425169918577,103.711734070194,1.346348,103.712429,0.430615
2218,1.34257681012081,103.882276402113,1.345608,103.882696,0.338411
2219,1.34262239002663,103.773588999579,1.342075,103.774633,0.131007
2220,1.34265740158581,103.718174762722,1.346348,103.712429,0.758564
2221,1.34270332376528,103.787221543935,1.336615,103.786969,0.673802
2222,1.34274226649806,103.954892442215,1.342706,103.953025,0.207865
2223,1.34295026529862,103.768245398461,1.340827,103.774213,0.704407
2224,1.34296556386397,103.76852896318,1.340827,103.774213,0.675326
2225,1.34306264921136,103.963167030106,1.33492,103.963654,0.902002
2226,1.34310811554054,103.960257433042,1.342706,103.953025,0.806118
2227,1.34326986460541,103.769189383043,1.342075,103.774633,0.620055
2228,1.34328286670471,103.869217344339,1.350676,103.871862,0.868863
2229,1.34330642786718,103.768846834849,1.340827,103.774213,0.657121
2230,1.34332356903844,103.869848204959,1.350676,103.871862,0.843319
2231,1.34335239967805,103.719303577001,1.349955,103.717705,0.751445
2232,1.34338142784141,103.773429488149,1.342075,103.774633,0.196996
2233,1.34340886402757,103.881033504281,1.345608,103.882696,0.305553
2234,1.34345361531638,103.868857707623,1.350676,103.871862,0.865778
2235,1.3434570441432,103.766589704468,1.340827,103.774213,0.89685
