QUERY,SEARCHVAL,BLK_NO,ROAD_NAME,BUILDING,ADDRESS,POSTAL,X,Y,LATITUDE,LONGITUDE
TANGLIN VIEW PRINCE CHARLES CRESCENT,TANGLIN VIEW,150,PRINCE CHARLES CRESCENT,TANGLIN VIEW,150 PRINCE CHARLES CRESCENT TANGLIN VIEW SINGAPORE 159012,159012,26336.0061282357,30469.3870020173,1.29182877953015,103.818366893396
ONE DRAYCOTT DRAYCOTT PARK,ONE DRAYCOTT,1,DRAYCOTT PARK,ONE DRAYCOTT,1 DRAYCOTT PARK ONE DRAYCOTT SINGAPORE 259385,259385,27710.321416676,32488.0176165476,1.31008460714385,103.830715676333
ONE-NORTH RESIDENCES ONE-NORTH GATEWAY,ONE-NORTH RESIDENCES,7,ONE-NORTH GATEWAY,ONE-NORTH RESIDENCES,7 ONE-NORTH GATEWAY ONE-NORTH RESIDENCES SINGAPORE 138642,138642,23168.743396882,31616.70648719,1.30220440131525,103.789907530412
HIGHLINE RESIDENCES KIM TIAN ROAD,HIGHLINE RESIDENCES,1,KIM TIAN ROAD,HIGHLINE RESIDENCES,1 KIM TIAN ROAD HIGHLINE RESIDENCES SINGAPORE 169280,169280,27603.5858517587,29605.2518667746,1.28401388660814,103.829756642021
TRE RESIDENCES GEYLANG EAST AVENUE 1,TRE RESIDENCES,7,GEYLANG EAST AVENUE 1,TRE RESIDENCES,7 GEYLANG EAST AVENUE 1 TRE RESIDENCES SINGAPORE 389782,389782,33714.7937371163,33276.5201431867,1.31721501497667,103.884668916461
WING FONG MANSIONS LORONG 14 GEYLANG,WING FONG MANSIONS,12,LORONG 14 GEYLANG,WING FONG MANSIONS,12 LORONG 14 GEYLANG WING FONG MANSIONS SINGAPORE 398924,398924,33092.6962612588,32542.3466496319,1.31057552074486,103.879078933752
FERRELL RESIDENCES BUKIT TIMAH ROAD,FERRELL RESIDENCES,327,BUKIT TIMAH ROAD,FERRELL RESIDENCES,327 BUKIT TIMAH ROAD FERRELL RESIDENCES SINGAPORE 259715,259715,27891.1187121086,33330.0041244347,1.3176992370965,103.832340224879
ALEX RESIDENCES ALEXANDRA VIEW,ALEX RESIDENCES,28,ALEXANDRA VIEW,ALEX RESIDENCES,28 ALEXANDRA VIEW ALEX RESIDENCES SINGAPORE 158744,158744,26406.5516573498,30330.1968942378,1.29056999681587,103.819000781728
WATERSCAPE AT CAVENAGH CAVENAGH ROAD,WATERSCAPE AT CAVENAGH,65,CAVENAGH ROAD,WATERSCAPE AT CAVENAGH,65 CAVENAGH ROAD WATERSCAPE AT CAVENAGH SINGAPORE 229619,229619,28833.0605446845,31810.3242714126,1.30395577762362,103.840804014831
STURDEE RESIDENCES BEATTY ROAD,STURDEE RESIDENCES,10,BEATTY ROAD,STURDEE RESIDENCES,10 BEATTY ROAD STURDEE RESIDENCES SINGAPORE 209955,209955,30863.3355249632,32801.2183627151,1.31291695250751,103.859047068258
DUCHESS RESIDENCES DUCHESS AVENUE,DUCHESS RESIDENCES,102,DUCHESS AVENUE,DUCHESS RESIDENCES,102 DUCHESS AVENUE DUCHESS RESIDENCES SINGAPORE 266310,266310,24461.1842433875,34084.686477324,1.3245241122412,103.801520418513
REFLECTIONS AT KEPPEL BAY KEPPEL BAY VIEW,REFLECTIONS AT KEPPEL BAY,1,KEPPEL BAY VIEW,REFLECTIONS AT KEPPEL BAY,1 KEPPEL BAY VIEW REFLECTIONS AT KEPPEL BAY SINGAPORE 098402,098402,25892.2692540484,27852.4581126701,1.26816216653267,103.814379904552
VIDA PECK HAY ROAD,VIDA,5,PECK HAY ROAD,VIDA,5 PECK HAY ROAD VIDA SINGAPORE 228307,228307,28641.3470101217,32333.3137747869,1.30868551490343,103.839081390501
PARK PLACE RESIDENCES AT PLQ PAYA LEBAR ROAD,PARK PLACE RESIDENCES AT PLQ,2,PAYA LEBAR ROAD,PARK PLACE RESIDENCES AT PLQ,2 PAYA LEBAR ROAD PARK PLACE RESIDENCES AT PLQ SINGAPORE 409053,409053,34613.7707721666,33124.1389756929,1.31583675363618,103.892746648427
CHANCERY PARK CHANCERY LANE,CHANCERY PARK,9,CHANCERY LANE,CHANCERY PARK,9 CHANCERY LANE CHANCERY PARK SINGAPORE 309499,309499,28393.3941089483,33473.19535698,1.31899420570811,103.836853428868
TREVISTA LORONG 3 TOA PAYOH,TREVISTA,21,LORONG 3 TOA PAYOH,TREVISTA,21 LORONG 3 TOA PAYOH TREVISTA SINGAPORE 319581,319581,29471.2359497417,35510.7108324487,1.33742074109903,103.846538493576
YONG AN PARK RIVER VALLEY ROAD,YONG AN PARK,325,RIVER VALLEY ROAD,YONG AN PARK,325 RIVER VALLEY ROAD YONG AN PARK SINGAPORE 238357,238357,28183.7211873177,30875.0444523208,1.29549744673762,103.834969393898
SOLEIL @ SINARAN SINARAN DRIVE,SOLEIL @ SINARAN,2,SINARAN DRIVE,SOLEIL @ SINARAN,2 SINARAN DRIVE SOLEIL @ SINARAN SINGAPORE 307467,307467,29330.2690810505,33540.2060093489,1.31960020004528,103.845271738384
